week_start,week_key,error
2025-11-16,nov16.2025,time data '2025-11-18 Sep 27th' does not match format '%Y-%m-%d %I:%M%p'
2025-12-07,dec7.2025,time data '2025-12-09 Nov 15th' does not match format '%Y-%m-%d %I:%M%p'
2025-12-14,dec14.2025,time data '2025-12-16 Oct Data' does not match format '%Y-%m-%d %I:%M%p'
2025-12-21,dec21.2025,time data '2025-12-23 Oct Data' does not match format '%Y-%m-%d %I:%M%p'
2026-01-04,jan4.2026,time data '2026-01-09 Sep Data' does not match format '%Y-%m-%d %I:%M%p'
2026-01-11,jan11.2026,time data '2026-01-13 Dec 13th' does not match format '%Y-%m-%d %I:%M%p'
2026-01-18,jan18.2026,time data '2026-01-21 Sep Data' does not match format '%Y-%m-%d %I:%M%p'
2026-02-08,feb8.2026,time data '2026-02-10 Jan 10th' does not match format '%Y-%m-%d %I:%M%p'
2026-02-15,feb15.2026,time data '2026-02-18 Nov Data' does not match format '%Y-%m-%d %I:%M%p'
2026-02-22,feb22.2026,time data '2026-02-27 Nov Data' does not match format '%Y-%m-%d %I:%M%p'
2026-03-08,mar8.2026,time data '2026-03-10 Feb 14th' does not match format '%Y-%m-%d %I:%M%p'
2026-04-05,apr5.2026,time data '2026-04-07 Mar 14th' does not match format '%Y-%m-%d %I:%M%p'
2026-04-26,apr26.2026,time data '2026-04-29 Feb Data' does not match format '%Y-%m-%d %I:%M%p'
2026-05-03,may3.2026,time data '2026-05-05 Feb Data' does not match format '%Y-%m-%d %I:%M%p'
2026-05-10,may10.2026,time data '2026-05-12 Apr 18th' does not match format '%Y-%m-%d %I:%M%p'
2026-06-07,jun7.2026,time data '2026-06-09 May 16th' does not match format '%Y-%m-%d %I:%M%p'
2026-07-05,jul5.2026,time data '2026-07-07 Jun 13th' does not match format '%Y-%m-%d %I:%M%p'
2026-08-09,aug9.2026,time data '2026-08-11 Jul 18th' does not match format '%Y-%m-%d %I:%M%p'
