month,opening_regime,final_regime,days,regime_changes,total_event_count,high_impact_event_count,final_cumulative_score
2025-09,NEUTRAL,DOWN,20,4,160,29,-4.5
2025-10,DOWN,UP,27,1,207,22,8.5
2025-11,UP,UP,25,0,152,8,11.0
2025-12,UP,UP,27,0,71,9,7.5
2026-01,UP,DOWN,26,1,60,6,-5.5
2026-02,DOWN,DOWN,24,0,55,10,-9.5
2026-03,DOWN,DOWN,27,2,179,26,-2.0
2026-04,DOWN,DOWN,26,0,120,16,-21.0
2026-05,DOWN,DOWN,26,0,100,3,2.0
2026-06,DOWN,DOWN,26,0,172,12,-13.5
2026-07,DOWN,UP,27,1,174,21,34.5
2026-08,UP,DOWN,26,1,141,9,1.0
2026-09,DOWN,DOWN,4,0,51,4,-4.0
