swing_id,direction,trend,swing_pips,bars,swing_trend_aligned,prior_direction,prior_swing_pips,prior_bars,current_end_retracement_pct,current_end_fib_zone,reversal_pct,reversal_fib_zone,start_time,end_time,signal_date,date,month,regime,opening_regime,previous_regime,regime_changed,cumulative_month_score,confidence,economic_regime,economic_alignment,economic_filter_status,economic_regime_match,passes_step11_filter
5,DOWN,DOWN,71.699999999999,1296,True,UP,48.20000000000047,467.0,148.75518672198817,127.2-161.8,148.75518672198817,127.2-161.8,2025-09-10 10:48:00,2025-09-11 08:30:00,2025-09-11,2025-09-11,2025-09,NEUTRAL,NEUTRAL,NEUTRAL,False,2.5,0.625,NEUTRAL,False,EXCLUDE_NEUTRAL,False,False
6,UP,UP,87.09999999999995,174,True,DOWN,71.699999999999,1296.0,121.47838214783984,100.0-127.2,121.47838214783984,100-127.2,2025-09-11 08:30:00,2025-09-11 11:24:00,2025-09-11,2025-09-11,2025-09,NEUTRAL,NEUTRAL,NEUTRAL,False,2.5,0.625,NEUTRAL,False,EXCLUDE_NEUTRAL,False,False
9,DOWN,DOWN,46.200000000000685,319,True,UP,26.89999999999859,183.0,171.74721189592233,161.8-200.0,171.74721189592233,161.8-200,2025-09-12 03:22:00,2025-09-12 08:41:00,2025-09-12,2025-09-12,2025-09,UP,NEUTRAL,NEUTRAL,True,5.0,1.0,UP,False,KEEP_IF_UP,False,False
14,UP,UP,58.400000000000674,572,True,DOWN,19.29999999999988,126.0,302.590673575135,261.8-361.8,302.590673575135,261.8-361.8,2025-09-15 02:31:00,2025-09-15 12:03:00,2025-09-15,2025-09-15,2025-09,UP,NEUTRAL,UP,False,4.5,1.0,UP,True,KEEP_IF_UP,True,True
16,UP,UP,121.09999999999845,988,True,DOWN,17.199999999999438,530.0,704.0697674418743,>=423.6,704.0697674418743,>=423.6,2025-09-15 20:54:00,2025-09-16 13:22:00,2025-09-16,2025-09-16,2025-09,UP,NEUTRAL,UP,False,5.0,1.0,UP,True,KEEP_IF_UP,True,True
19,DOWN,DOWN,138.39999999999853,724,True,UP,85.9999999999994,476.0,160.93023255813893,127.2-161.8,160.93023255813893,127.2-161.8,2025-09-17 14:09:00,2025-09-18 02:14:00,2025-09-18,2025-09-18,2025-09,UP,NEUTRAL,UP,False,7.0,1.0,UP,False,KEEP_IF_UP,False,False
23,DOWN,DOWN,66.29999999999913,1262,True,UP,42.49999999999865,835.0,156.00000000000293,127.2-161.8,156.00000000000293,127.2-161.8,2025-09-18 23:48:00,2025-09-21 20:56:00,2025-09-21,2025-09-21,2025-09,UP,NEUTRAL,UP,False,7.0,1.0,UP,False,KEEP_IF_UP,False,False
24,UP,UP,93.700000000001,1490,True,DOWN,66.29999999999913,1262.0,141.3273001508329,127.2-161.8,141.3273001508329,127.2-161.8,2025-09-21 20:56:00,2025-09-22 21:50:00,2025-09-22,2025-09-22,2025-09,UP,NEUTRAL,UP,False,7.0,1.0,UP,True,KEEP_IF_UP,True,True
27,DOWN,DOWN,90.99999999999886,967,True,UP,40.29999999999978,893.0,225.8064516129016,200.0-261.8,225.8064516129016,200-261.8,2025-09-23 18:09:00,2025-09-24 10:20:00,2025-09-24,2025-09-24,2025-09,UP,NEUTRAL,UP,False,7.5,1.0,UP,False,KEEP_IF_UP,False,False
31,DOWN,DOWN,108.40000000000182,447,True,UP,23.300000000001653,164.0,465.2360515021208,>=423.6,465.2360515021208,>=423.6,2025-09-25 06:45:00,2025-09-25 14:12:00,2025-09-25,2025-09-25,2025-09,UP,NEUTRAL,UP,False,4.5,1.0,UP,False,KEEP_IF_UP,False,False
34,UP,UP,19.29999999999988,50,True,DOWN,15.299999999998091,103.0,126.1437908496881,100.0-127.2,126.1437908496881,100-127.2,2025-09-26 03:52:00,2025-09-26 04:42:00,2025-09-26,2025-09-26,2025-09,UP,NEUTRAL,UP,False,5.0,1.0,UP,True,KEEP_IF_UP,True,True
36,UP,UP,71.699999999999,1076,True,DOWN,26.200000000000667,133.0,273.66412213739375,261.8-361.8,273.66412213739375,261.8-361.8,2025-09-26 06:55:00,2025-09-29 01:08:00,2025-09-29,2025-09-29,2025-09,UP,NEUTRAL,UP,False,3.0,0.75,UP,True,KEEP_IF_UP,True,True
38,UP,UP,46.90000000000083,320,True,DOWN,25.69999999999961,198.0,182.49027237354684,161.8-200.0,182.49027237354684,161.8-200,2025-09-29 04:26:00,2025-09-29 09:46:00,2025-09-29,2025-09-29,2025-09,UP,NEUTRAL,UP,False,3.0,0.75,UP,True,KEEP_IF_UP,True,True
