swing_id,direction,trend,swing_pips,bars,swing_trend_aligned,prior_direction,prior_swing_pips,prior_bars,current_end_retracement_pct,current_end_fib_zone,reversal_pct,reversal_fib_zone,start_time,end_time,signal_date,date,month,regime,opening_regime,previous_regime,regime_changed,cumulative_month_score,confidence,economic_regime,economic_alignment,economic_filter_status,economic_regime_match,passes_step11_filter
14,UP,UP,58.400000000000674,572,True,DOWN,19.29999999999988,126.0,302.590673575135,261.8-361.8,302.590673575135,261.8-361.8,2025-09-15 02:31:00,2025-09-15 12:03:00,2025-09-15,2025-09-15,2025-09,UP,NEUTRAL,UP,False,4.5,1.0,UP,True,KEEP_IF_UP,True,True
16,UP,UP,121.09999999999845,988,True,DOWN,17.199999999999438,530.0,704.0697674418743,>=423.6,704.0697674418743,>=423.6,2025-09-15 20:54:00,2025-09-16 13:22:00,2025-09-16,2025-09-16,2025-09,UP,NEUTRAL,UP,False,5.0,1.0,UP,True,KEEP_IF_UP,True,True
24,UP,UP,93.700000000001,1490,True,DOWN,66.29999999999913,1262.0,141.3273001508329,127.2-161.8,141.3273001508329,127.2-161.8,2025-09-21 20:56:00,2025-09-22 21:50:00,2025-09-22,2025-09-22,2025-09,UP,NEUTRAL,UP,False,7.0,1.0,UP,True,KEEP_IF_UP,True,True
34,UP,UP,19.29999999999988,50,True,DOWN,15.299999999998091,103.0,126.1437908496881,100.0-127.2,126.1437908496881,100-127.2,2025-09-26 03:52:00,2025-09-26 04:42:00,2025-09-26,2025-09-26,2025-09,UP,NEUTRAL,UP,False,5.0,1.0,UP,True,KEEP_IF_UP,True,True
36,UP,UP,71.699999999999,1076,True,DOWN,26.200000000000667,133.0,273.66412213739375,261.8-361.8,273.66412213739375,261.8-361.8,2025-09-26 06:55:00,2025-09-29 01:08:00,2025-09-29,2025-09-29,2025-09,UP,NEUTRAL,UP,False,3.0,0.75,UP,True,KEEP_IF_UP,True,True
38,UP,UP,46.90000000000083,320,True,DOWN,25.69999999999961,198.0,182.49027237354684,161.8-200.0,182.49027237354684,161.8-200,2025-09-29 04:26:00,2025-09-29 09:46:00,2025-09-29,2025-09-29,2025-09,UP,NEUTRAL,UP,False,3.0,0.75,UP,True,KEEP_IF_UP,True,True
42,UP,UP,44.99999999999949,236,True,DOWN,45.100000000000136,283.0,99.77827050997638,78.6-100.0,99.77827050997638,78.6-100,2025-09-30 09:26:00,2025-09-30 13:22:00,2025-09-30,2025-09-30,2025-09,UP,NEUTRAL,UP,False,-0.5,0.0,UP,True,KEEP_IF_UP,True,True
46,UP,UP,42.899999999999054,1155,True,DOWN,63.10000000000038,570.0,67.98732171156703,61.8-78.6,67.98732171156703,61.8-78.6,2025-10-01 12:44:00,2025-10-02 08:05:00,2025-10-02,2025-10-02,2025-10,UP,UP,UP,False,-0.5,0.0,UP,True,KEEP_IF_UP,True,True
50,UP,UP,44.500000000000654,524,True,DOWN,14.600000000000168,210.0,304.7945205479461,261.8-361.8,304.7945205479461,261.8-361.8,2025-10-03 01:23:00,2025-10-03 10:07:00,2025-10-03,2025-10-03,2025-10,UP,UP,UP,False,1.0,0.25,UP,True,KEEP_IF_UP,True,True
60,UP,UP,49.70000000000141,750,True,DOWN,46.39999999999978,197.0,107.1120689655208,100.0-127.2,107.1120689655208,100-127.2,2025-10-08 12:35:00,2025-10-09 01:10:00,2025-10-09,2025-10-09,2025-10,UP,UP,UP,False,0.5,0.125,UP,True,KEEP_IF_UP,True,True
64,UP,UP,28.599999999998627,95,True,DOWN,16.899999999999693,64.0,169.23076923076417,161.8-200.0,169.23076923076417,161.8-200,2025-10-10 02:51:00,2025-10-10 04:26:00,2025-10-10,2025-10-10,2025-10,UP,UP,UP,False,-3.0,0.0,UP,True,KEEP_IF_UP,True,True
