month,signals,kept,up_signals,down_signals,up_regime_signals,down_regime_signals,neutral_regime_signals,kept_pct
2025-09,15,7,8,7,13,0,2,46.666666666666664
2025-10,27,16,12,15,15,12,0,59.25925925925925
2025-11,27,11,10,17,22,5,0,40.74074074074074
2025-12,23,13,13,10,23,0,0,56.52173913043478
2026-01,27,11,11,16,27,0,0,40.74074074074074
2026-02,26,13,12,14,11,15,0,50.0
2026-03,27,18,8,19,1,26,0,66.66666666666666
2026-04,33,18,15,18,0,33,0,54.54545454545454
2026-05,24,12,13,11,23,1,0,50.0
2026-06,25,14,12,13,1,24,0,56.00000000000001
2026-07,25,11,11,14,21,4,0,44.0
2026-08,27,15,13,14,1,26,0,55.55555555555556
2026-09,4,3,1,3,0,4,0,75.0
