reversal_fib_zone,scope,count,swing_pips_mean,swing_pips_median,swing_pips_std,swing_pips_p25,swing_pips_p75,swing_pips_min,swing_pips_max,prior_swing_pips_mean,prior_swing_pips_median,prior_swing_pips_std,prior_swing_pips_p25,prior_swing_pips_p75,prior_swing_pips_min,prior_swing_pips_max,bars_mean,bars_median,bars_std,bars_p25,bars_p75,bars_min,bars_max,prior_bars_mean,prior_bars_median,prior_bars_std,prior_bars_p25,prior_bars_p75,prior_bars_min,prior_bars_max,reversal_pct_mean,reversal_pct_median,reversal_pct_std,reversal_pct_p25,reversal_pct_p75,reversal_pct_min,reversal_pct_max,current_end_retracement_pct_mean,current_end_retracement_pct_median,current_end_retracement_pct_std,current_end_retracement_pct_p25,current_end_retracement_pct_p75,current_end_retracement_pct_min,current_end_retracement_pct_max,confidence_mean,confidence_median,confidence_std,confidence_p25,confidence_p75,confidence_min,confidence_max,pct_of_162
<0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
0-23.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
23.6-38.2,fibonacci_zone,1,37.199999999999456,37.199999999999456,,37.199999999999456,37.199999999999456,37.199999999999456,37.199999999999456,108.69999999999936,108.69999999999936,,108.69999999999936,108.69999999999936,108.69999999999936,108.69999999999936,643.0,643.0,,643.0,643.0,643.0,643.0,2304.0,2304.0,,2304.0,2304.0,2304.0,2304.0,34.22263109475591,34.22263109475591,,34.22263109475591,34.22263109475591,34.22263109475591,34.22263109475591,34.22263109475591,34.22263109475591,,34.22263109475591,34.22263109475591,34.22263109475591,34.22263109475591,1.0,1.0,,1.0,1.0,1.0,1.0,0.6172839506172839
38.2-50,fibonacci_zone,1,9.899999999998244,9.899999999998244,,9.899999999998244,9.899999999998244,9.899999999998244,9.899999999998244,22.599999999999287,22.599999999999287,,22.599999999999287,22.599999999999287,22.599999999999287,22.599999999999287,49.0,49.0,,49.0,49.0,49.0,49.0,885.0,885.0,,885.0,885.0,885.0,885.0,43.805309734506885,43.805309734506885,,43.805309734506885,43.805309734506885,43.805309734506885,43.805309734506885,43.805309734506885,43.805309734506885,,43.805309734506885,43.805309734506885,43.805309734506885,43.805309734506885,1.0,1.0,,1.0,1.0,1.0,1.0,0.6172839506172839
50-61.8,fibonacci_zone,7,34.87142857142864,36.79999999999906,14.481564635276785,24.400000000001086,41.49999999999987,17.000000000000348,58.49999999999911,60.2428571428572,61.99999999999983,25.513451167495248,41.45000000000065,71.04999999999916,31.000000000001027,103.6999999999999,594.7142857142857,556.0,342.48100399180987,427.0,840.0,36.0,1037.0,856.5714285714286,796.0,429.1230814668666,513.0,1135.5,406.0,1497.0,57.86129882484084,57.55305867665529,1.9190137124417304,56.79752473401297,59.435483870966905,54.83870967741866,60.17130620985217,57.86129882484084,57.55305867665529,1.9190137124417304,56.79752473401297,59.435483870966905,54.83870967741866,60.17130620985217,0.9642857142857143,1.0,0.09449111825230683,1.0,1.0,0.75,1.0,4.320987654320987
61.8-78.6,fibonacci_zone,12,36.30000000000041,31.40000000000032,22.957549758392982,25.45000000000075,40.12500000000085,8.099999999999774,100.70000000000024,51.57500000000019,46.55000000000076,29.222597887126916,35.79999999999972,62.87500000000057,12.900000000000134,129.999999999999,586.5833333333334,691.0,321.59982426875945,382.75,774.0,23.0,1155.0,514.4166666666666,517.5,289.90639816494166,347.5,718.0,31.0,984.0,69.15802863006361,68.54650638423978,6.400006151030891,62.882140438023555,75.88010377230437,62.32558139534963,77.84615384615886,69.15802863006361,68.54650638423978,6.400006151030891,62.882140438023555,75.88010377230437,62.32558139534963,77.84615384615886,0.6041666666666666,0.875,0.45798885126036404,0.1875,1.0,0.0,1.0,7.4074074074074066
78.6-100,fibonacci_zone,13,35.9692307692307,37.8999999999996,21.380769576708467,16.499999999999293,48.79999999999996,11.900000000000244,74.89999999999996,39.961538461538076,38.69999999999818,23.431408353658565,20.10000000000068,57.89999999999962,13.499999999999623,79.00000000000018,438.53846153846155,236.0,441.60948347769425,92.0,739.0,22.0,1343.0,681.1538461538462,423.0,583.7988874823599,347.0,924.0,271.0,2400.0,89.38605128436636,86.93284936479411,7.3106893815239316,83.19672131148361,95.50949913643952,78.987341772152,99.77827050997638,89.38605128436636,86.93284936479411,7.3106893815239316,83.19672131148361,95.50949913643952,78.987341772152,99.77827050997638,0.5096153846153846,0.5,0.4717585078656131,0.0,1.0,0.0,1.0,8.024691358024691
100-127.2,fibonacci_zone,29,41.051724137930925,42.29999999999956,19.481871072682374,23.399999999997867,50.09999999999959,11.6000000000005,89.39999999999948,35.4724137931033,38.40000000000066,16.55894010910574,20.299999999999763,46.39999999999978,9.900000000000464,73.29999999999836,543.6206896551724,410.0,461.32165829689063,180.0,713.0,50.0,2011.0,417.55172413793105,342.0,312.5867406710492,195.0,591.0,67.0,1343.0,115.60927937906295,116.1057692307682,7.522140681527,109.8214285714353,121.10091743119584,100.0,126.92307692306817,115.60927937906295,116.1057692307682,7.522140681527,109.8214285714353,121.10091743119584,100.0,126.92307692306817,0.6594827586206896,0.875,0.3965483775827948,0.25,1.0,0.0,1.0,17.901234567901234
127.2-161.8,fibonacci_zone,24,49.34583333333344,40.99999999999881,26.19571785727522,26.125000000000174,68.37499999999885,18.500000000001293,103.6999999999999,34.62499999999998,27.04999999999957,18.976650412271344,17.099999999999337,49.80000000000041,13.800000000001589,71.0999999999995,558.9583333333334,434.5,383.24512296357057,318.75,756.0,101.0,1490.0,344.125,308.5,266.52796777954774,182.25,462.0,13.0,1262.0,143.97678999920308,142.39204513714407,10.467815124898786,135.25629603230794,153.94689306358845,128.02419354838673,161.68224299065275,143.97678999920308,142.39204513714407,10.467815124898786,135.25629603230794,153.94689306358845,128.02419354838673,161.68224299065275,0.7447916666666666,1.0,0.3676437286720447,0.5,1.0,0.0,1.0,14.814814814814813
161.8-200,fibonacci_zone,22,46.16363636363631,39.35000000000022,19.77948782269511,30.624999999998572,60.34999999999957,19.400000000000528,87.50000000000036,25.522727272727547,21.450000000000635,10.667437404513855,17.85000000000092,33.87499999999988,11.400000000001407,47.30000000000123,570.4090909090909,484.0,345.8150701900696,358.25,816.25,40.0,1347.0,324.09090909090907,307.5,173.55139463595955,210.5,387.75,64.0,818.0,180.14242769257032,180.0813568670631,10.389927163868805,173.63373129010486,187.18322981366433,161.8390804597709,198.5815602836865,180.14242769257032,180.0813568670631,10.389927163868805,173.63373129010486,187.18322981366433,161.8390804597709,198.5815602836865,0.6477272727272727,0.8125,0.3983529401611904,0.28125,1.0,0.0,1.0,13.580246913580247
