swing_id,event_a,event_b,overlap_bars
14,breakout_A,fib_rejection_C,6
14,breakout_A,m1_structure_break_D,62
14,breakout_A,momentum_E,25
14,break_retest_B,breakout_A,0
14,break_retest_B,fib_rejection_C,4
14,break_retest_B,m1_structure_break_D,10
14,break_retest_B,momentum_E,4
14,fib_rejection_C,m1_structure_break_D,10
14,fib_rejection_C,momentum_E,1
14,m1_structure_break_D,momentum_E,36
16,breakout_A,fib_rejection_C,1
16,breakout_A,m1_structure_break_D,90
16,breakout_A,momentum_E,38
16,break_retest_B,breakout_A,0
16,break_retest_B,fib_rejection_C,5
16,break_retest_B,m1_structure_break_D,9
16,break_retest_B,momentum_E,4
16,fib_rejection_C,m1_structure_break_D,5
16,fib_rejection_C,momentum_E,1
16,m1_structure_break_D,momentum_E,68
24,breakout_A,fib_rejection_C,5
24,breakout_A,m1_structure_break_D,112
24,breakout_A,momentum_E,44
24,break_retest_B,breakout_A,0
24,break_retest_B,fib_rejection_C,1
24,break_retest_B,m1_structure_break_D,17
24,break_retest_B,momentum_E,8
24,fib_rejection_C,m1_structure_break_D,10
24,fib_rejection_C,momentum_E,3
24,m1_structure_break_D,momentum_E,75
34,breakout_A,fib_rejection_C,1
34,breakout_A,m1_structure_break_D,2
34,breakout_A,momentum_E,2
34,break_retest_B,breakout_A,0
34,break_retest_B,fib_rejection_C,0
34,break_retest_B,m1_structure_break_D,0
34,break_retest_B,momentum_E,0
34,fib_rejection_C,m1_structure_break_D,1
34,fib_rejection_C,momentum_E,1
34,m1_structure_break_D,momentum_E,3
36,breakout_A,fib_rejection_C,5
36,breakout_A,m1_structure_break_D,68
36,breakout_A,momentum_E,26
36,break_retest_B,breakout_A,0
36,break_retest_B,fib_rejection_C,0
36,break_retest_B,m1_structure_break_D,8
36,break_retest_B,momentum_E,5
36,fib_rejection_C,m1_structure_break_D,10
36,fib_rejection_C,momentum_E,4
36,m1_structure_break_D,momentum_E,58
38,breakout_A,fib_rejection_C,1
38,breakout_A,m1_structure_break_D,26
38,breakout_A,momentum_E,10
38,break_retest_B,breakout_A,0
38,break_retest_B,fib_rejection_C,3
38,break_retest_B,m1_structure_break_D,5
38,break_retest_B,momentum_E,4
38,fib_rejection_C,m1_structure_break_D,3
38,fib_rejection_C,momentum_E,1
38,m1_structure_break_D,momentum_E,21
