swing_id,direction,swing_pips,bars,breakout_A_count,break_retest_B_count,fib_rejection_C_count,m1_structure_break_D_count,momentum_E_count,first_breakout_A_bar,first_break_retest_B_bar,first_fib_rejection_C_bar,first_m1_structure_break_D_bar,first_momentum_E_bar,any_formal_event,distinct_models_present
14,UP,58.400000000000674,573,62,58,30,115,42,20,22,37,3,18,True,5
16,UP,121.09999999999845,989,90,76,31,193,71,44,49,72,3,37,True,5
24,UP,93.700000000001,1491,112,103,15,259,84,107,135,564,3,37,True,5
34,UP,19.29999999999988,51,2,0,4,10,3,39,-1,31,5,25,True,4
36,UP,71.699999999999,1077,68,51,28,202,65,37,43,123,3,21,True,5
38,UP,46.90000000000083,321,26,18,9,66,26,22,26,256,3,22,True,5
42,UP,44.99999999999949,237,25,22,1,51,18,23,27,204,4,19,True,5
46,UP,42.899999999999054,1156,73,58,0,184,67,36,39,-1,3,14,True,4
50,UP,44.500000000000654,525,40,34,43,95,36,27,51,73,10,13,True,5
60,UP,49.70000000000141,751,54,39,11,131,45,27,33,597,4,27,True,5
64,UP,28.599999999998627,96,8,10,11,17,6,59,61,14,5,13,True,5
68,UP,37.8999999999996,483,41,27,5,100,38,22,47,376,3,17,True,5
72,UP,102.99999999999976,1499,105,105,38,261,91,46,49,403,6,17,True,5
74,UP,65.10000000000016,764,73,40,24,145,47,23,29,227,3,23,True,5
76,UP,85.39999999999992,1320,103,99,34,245,87,46,49,382,7,18,True,5
79,DOWN,37.0999999999988,763,54,54,25,131,45,25,34,278,8,16,True,5
81,DOWN,57.49999999999922,840,61,50,39,156,57,27,30,74,4,27,True,5
83,DOWN,38.89999999999949,430,35,31,29,83,27,23,35,99,4,20,True,5
87,DOWN,20.7999999999986,180,18,18,9,34,8,23,33,99,16,29,True,5
89,DOWN,20.700000000000163,336,21,15,0,49,24,23,36,-1,6,16,True,4
93,DOWN,29.90000000000048,411,34,38,11,82,31,20,22,163,3,13,True,5
97,DOWN,50.09999999999959,967,66,66,12,158,62,51,58,686,6,41,True,5
105,DOWN,55.30000000000035,525,54,38,20,110,36,22,27,135,4,18,True,5
114,UP,11.900000000000244,48,4,1,1,11,6,40,42,47,7,15,True,5
116,UP,83.49999999999858,1763,128,94,29,306,118,23,25,362,3,14,True,5
118,UP,61.59999999999943,549,52,46,18,110,34,50,52,241,12,34,True,5
128,UP,76.99999999999818,993,99,81,23,197,65,21,37,373,3,14,True,5
151,DOWN,61.500000000001,496,49,48,30,99,42,25,29,90,3,25,True,5
153,DOWN,19.000000000000128,172,13,13,0,35,9,38,102,-1,7,28,True,4
159,DOWN,18.700000000000383,158,26,21,5,40,9,20,31,106,5,21,True,5
160,UP,84.40000000000003,1490,136,97,21,279,91,49,56,113,4,28,True,5
162,UP,66.19999999999848,755,74,53,28,151,44,26,36,64,15,26,True,5
164,UP,25.50000000000052,854,68,34,0,151,48,43,53,-1,12,17,True,4
168,UP,24.600000000001288,201,19,19,16,38,13,26,28,64,7,23,True,5
170,UP,62.89999999999907,597,56,53,17,113,48,22,24,279,8,14,True,5
176,UP,61.59999999999943,854,84,79,22,160,55,24,37,166,7,22,True,5
178,UP,41.90000000000138,634,56,46,35,110,43,47,51,90,20,47,True,5
188,UP,23.699999999999832,102,7,4,2,21,6,21,83,75,7,17,True,5
190,UP,92.30000000000072,2032,151,97,31,370,106,20,21,1012,7,38,True,5
192,UP,80.59999999999957,653,81,72,24,148,49,22,23,110,3,19,True,5
198,UP,42.40000000000022,414,41,33,11,81,34,53,63,179,3,17,True,5
