model,event,swing_id,direction,event_time,entry_time,entry_bar_index,entry_price,atr14_pips,sl_price,tp_price,exit_time,exit_price,exit_reason,hold_bars,r_multiple,mfe_r,mae_r
A_Breakout,breakout_A,14,UP,2025-09-15 02:51:00,2025-09-15 02:52:00,7345,1.17254,1.242857142856562,1.1724157142857143,1.1727264285714285,2025-09-15 02:56:00,1.1724157142857143,SL,4,-0.9999999999993618,0.40229885057574966,-1.1264367816081686
A_Breakout,breakout_A,16,UP,2025-09-15 21:38:00,2025-09-15 21:39:00,8471,1.17625,1.0714285714281362,1.1761428571428572,1.1764107142857143,2025-09-15 21:40:00,1.1764107142857143,TP,1,1.5000000000006661,2.0533333333331125,-0.2799999999998757
A_Breakout,breakout_A,24,UP,2025-09-21 22:43:00,2025-09-21 22:44:00,14279,1.17316,1.2714285714286535,1.1730328571428572,1.1733507142857142,2025-09-21 22:46:00,1.1730328571428572,SL,2,-0.9999999999992515,0.23595505617955942,-1.5730337078648937
A_Breakout,breakout_A,34,UP,2025-09-26 04:31:00,2025-09-26 04:32:00,20373,1.16827,1.6785714285716402,1.1681021428571428,1.1685217857142858,2025-09-26 04:35:00,1.1685217857142858,TP,3,1.5000000000006615,2.1446808510643813,-0.1191489361696555
A_Breakout,breakout_A,36,UP,2025-09-26 07:32:00,2025-09-26 07:33:00,20554,1.16686,1.557142857142749,1.1667042857142857,1.1670935714285715,2025-09-26 07:35:00,1.1670935714285715,TP,2,1.5000000000005602,2.055045871560405,-0.06422018348666371
A_Breakout,breakout_A,38,UP,2025-09-29 04:48:00,2025-09-29 04:49:00,21813,1.17202,1.1642857142854115,1.1719035714285715,1.1721946428571428,2025-09-29 04:51:00,1.1719035714285715,SL,2,-1.0000000000002724,1.0306748466251585,-1.202453987730623
A_Breakout,breakout_A,42,UP,2025-09-30 09:49:00,2025-09-30 09:50:00,23542,1.17368,2.114285714286243,1.1734685714285715,1.173997142857143,2025-09-30 09:55:00,1.1734685714285715,SL,5,-0.9999999999995499,0.6621621621621337,-1.7027027027029298
A_Breakout,breakout_A,46,UP,2025-10-01 13:20:00,2025-10-01 13:21:00,25188,1.17303,1.1928571428570274,1.1729107142857143,1.1732089285714287,2025-10-01 13:27:00,1.1732089285714287,TP,6,1.5000000000007976,1.6766467065868038,-0.5868263473055675
A_Breakout,breakout_A,50,UP,2025-10-03 01:50:00,2025-10-03 01:51:00,27368,1.17194,1.1857142857136476,1.1718214285714286,1.172117857142857,2025-10-03 01:55:00,1.1718214285714286,SL,4,-1.0000000000004012,1.0963855421689568,-1.3493975903616489
A_Breakout,breakout_A,60,UP,2025-10-08 13:02:00,2025-10-08 13:03:00,32348,1.16058,1.0142857142856978,1.1604785714285715,1.1607321428571429,2025-10-08 13:05:00,1.1604785714285715,SL,2,-0.9999999999990616,0.0,-2.8591549295765395
A_Breakout,breakout_A,64,UP,2025-10-10 03:50:00,2025-10-10 03:51:00,34660,1.15763,1.5785714285713022,1.1574721428571428,1.1578667857142857,2025-10-10 03:57:00,1.1578667857142857,TP,6,1.500000000000402,1.8371040723991194,-0.6968325791845148
A_Breakout,breakout_A,68,UP,2025-10-12 18:43:00,2025-10-12 18:44:00,35552,1.16042,1.564285714285653,1.1602635714285714,1.160654642857143,2025-10-12 18:45:00,1.1602635714285714,SL,1,-1.0000000000003042,0.0,-2.23744292237498
A_Breakout,breakout_A,72,UP,2025-10-14 04:30:00,2025-10-14 04:31:00,37574,1.15584,2.2071428571425664,1.1556192857142857,1.1561710714285713,2025-10-14 04:37:00,1.1556192857142857,SL,6,-0.9999999999999282,0.9967637540459325,-1.8122977346278708
A_Breakout,breakout_A,74,UP,2025-10-15 09:27:00,2025-10-15 09:28:00,39303,1.16206,1.8928571428570136,1.1618707142857143,1.1623439285714285,2025-10-15 09:32:00,1.1623439285714285,TP,4,1.4999999999994553,2.113207547169723,-0.5811320754720257
A_Breakout,breakout_A,76,UP,2025-10-16 04:43:00,2025-10-16 04:44:00,40455,1.16592,1.542857142856941,1.1657657142857143,1.1661514285714285,2025-10-16 04:45:00,1.1657657142857143,SL,1,-1.000000000000514,0.453703703703857,-1.1666666666672665
A_Breakout,breakout_A,79,DOWN,2025-10-20 02:00:00,2025-10-20 02:01:00,43170,1.16691,1.078571428571516,1.167017857142857,1.1667482142857142,2025-10-20 02:01:00,1.167017857142857,SL,0,-1.0000000000005882,0.2781456953639794,-1.3907284768219554
A_Breakout,breakout_A,81,DOWN,2025-10-20 21:22:00,2025-10-20 21:23:00,44321,1.16489,0.99999999999989,1.16499,1.1647399999999999,2025-10-20 21:29:00,1.1647399999999999,TP,6,1.50000000000111,2.4000000000004436,-0.2999999999997779
A_Breakout,breakout_A,83,DOWN,2025-10-22 02:00:00,2025-10-22 02:01:00,46036,1.1608,1.3214285714283465,1.1609321428571429,1.1606017857142858,2025-10-22 02:02:00,1.1606017857142858,TP,1,1.49999999999964,1.5135135135136044,-0.30270270270305694
A_Breakout,breakout_A,87,DOWN,2025-10-23 04:40:00,2025-10-23 04:41:00,47625,1.15999,1.1285714285712092,1.160102857142857,1.1598207142857144,2025-10-23 04:43:00,1.1598207142857144,TP,2,1.4999999999997187,1.5949367088616808,0.0
A_Breakout,breakout_A,89,DOWN,2025-10-23 21:00:00,2025-10-23 21:01:00,48600,1.1617,0.7642857142861217,1.1617764285714285,1.161585357142857,2025-10-23 21:02:00,1.1617764285714285,SL,1,-0.9999999999989625,0.7850467289708766,-1.439252336448544
A_Breakout,breakout_A,93,DOWN,2025-10-26 20:38:00,2025-10-26 20:39:00,50072,1.1641,1.2285714285713882,1.164222857142857,1.1639157142857142,2025-10-26 20:41:00,1.1639157142857142,TP,2,1.5000000000003229,1.546511627906315,-0.4883720930246639
A_Breakout,breakout_A,97,DOWN,2025-10-28 12:51:00,2025-10-28 12:52:00,52481,1.16615,0.9214285714287396,1.166242142857143,1.1660117857142858,2025-10-28 12:53:00,1.166242142857143,SL,1,-1.0000000000012048,0.7596899224806388,-1.4108527131776407
A_Breakout,breakout_A,105,DOWN,2025-10-31 05:20:00,2025-10-31 05:21:00,56340,1.15687,1.3071428571431731,1.1570007142857144,1.1566739285714287,2025-10-31 05:22:00,1.1570007142857144,SL,1,-1.0,0.1530054644818397,-1.5300546448082049
A_Breakout,breakout_A,114,UP,2025-11-05 03:02:00,2025-11-05 03:03:00,60449,1.14902,1.7000000000000348,1.14885,1.1492749999999998,2025-11-05 03:03:00,1.14885,SL,0,-1.0,0.0,-1.1176470588229916
A_Breakout,breakout_A,116,UP,2025-11-05 09:27:00,2025-11-05 09:28:00,60834,1.14834,1.6142857142856633,1.1481785714285713,1.1485821428571428,2025-11-05 09:37:00,1.1485821428571428,TP,9,1.5000000000000493,1.9203539823011468,-0.9292035398222481
A_Breakout,breakout_A,118,UP,2025-11-07 02:18:00,2025-11-07 02:19:00,63275,1.15341,1.2285714285713882,1.153287142857143,1.1535942857142858,2025-11-07 02:22:00,1.1535942857142858,TP,3,1.5000000000003229,1.6279069767440602,-0.4069767441869187
A_Breakout,breakout_A,128,UP,2025-11-12 20:38:00,2025-11-12 20:39:00,68670,1.15847,1.0571428571429629,1.1583642857142857,1.1586285714285716,2025-11-12 20:49:00,1.1586285714285716,TP,10,1.5000000000000748,1.7972972972962893,-0.18918918919040967
A_Breakout,breakout_A,151,DOWN,2025-11-21 03:51:00,2025-11-21 03:52:00,77722,1.15419,2.2214285714286914,1.154412142857143,1.1538567857142858,2025-11-21 03:54:00,1.154412142857143,SL,2,-1.000000000000357,0.4501607717041062,-2.0257234726689775
A_Breakout,breakout_A,153,DOWN,2025-11-23 17:04:00,2025-11-23 17:05:00,78510,1.15115,1.757142857142632,1.151325714285714,1.1508864285714284,2025-11-23 17:30:00,1.151325714285714,SL,23,-0.9999999999994584,1.3658536585355991,-1.195121951219913
A_Breakout,breakout_A,159,DOWN,2025-11-24 22:20:00,2025-11-24 22:21:00,80259,1.15251,0.5642857142857631,1.1525664285714285,1.152425357142857,2025-11-24 22:21:00,1.152425357142857,TP,0,1.4999999999992975,1.7721518987338285,0.0
A_Breakout,breakout_A,160,UP,2025-11-25 01:26:00,2025-11-25 01:27:00,80445,1.15186,0.935714285713913,1.1517664285714286,1.1520003571428572,2025-11-25 01:30:00,1.1520003571428572,TP,3,1.5000000000000846,1.7099236641221554,-0.4274809160311321
