model,event,swing_id,direction,event_time,entry_time,entry_bar_index,entry_price,atr14_pips,sl_price,tp_price,exit_time,exit_price,exit_reason,hold_bars,r_multiple,mfe_r,mae_r
D_M1_Structure_Break,m1_structure_break_D,14,UP,2025-09-15 02:45:00,2025-09-15 02:46:00,7339,1.17205,1.328571428571092,1.1719171428571429,1.1722492857142857,2025-09-15 02:46:00,1.1722492857142857,TP,0,1.4999999999997014,1.7311827956990054,-0.2258064516127684
D_M1_Structure_Break,m1_structure_break_D,16,UP,2025-09-15 21:10:00,2025-09-15 21:11:00,8443,1.17623,1.1571428571429834,1.176114285714286,1.1764035714285717,2025-09-15 21:16:00,1.176114285714286,SL,5,-0.9999999999993148,0.3456790123440681,-1.2098765432099952
D_M1_Structure_Break,m1_structure_break_D,24,UP,2025-09-21 21:09:00,2025-09-21 21:10:00,14185,1.17391,2.457142857143094,1.1736642857142856,1.1742785714285715,2025-09-21 21:26:00,1.1736642857142856,SL,16,-1.0000000000003872,0.5697674418605281,-1.098837209302189
D_M1_Structure_Break,m1_structure_break_D,34,UP,2025-09-26 04:05:00,2025-09-26 04:06:00,20347,1.16799,1.885714285713951,1.1678014285714287,1.1682728571428571,2025-09-26 04:06:00,1.1678014285714287,SL,0,-1.000000000000168,0.37121212121226393,-1.2727272727275938
D_M1_Structure_Break,m1_structure_break_D,36,UP,2025-09-26 07:08:00,2025-09-26 07:09:00,20530,1.16681,1.3142857142859183,1.1666785714285712,1.1670071428571427,2025-09-26 07:10:00,1.1666785714285712,SL,1,-1.0000000000006035,0.6847826086966531,-1.6739130434771408
D_M1_Structure_Break,m1_structure_break_D,38,UP,2025-09-29 04:45:00,2025-09-29 04:46:00,21810,1.17195,1.1642857142855705,1.1718335714285715,1.1721246428571428,2025-09-29 04:49:00,1.1721246428571428,TP,3,1.4999999999992504,1.5460122699375267,-0.68711656441795
D_M1_Structure_Break,m1_structure_break_D,42,UP,2025-09-30 09:45:00,2025-09-30 09:46:00,23538,1.17348,2.135714285714796,1.1732664285714285,1.1738003571428572,2025-09-30 09:51:00,1.1738003571428572,TP,5,1.49999999999974,1.5451505016715976,-0.6086956521746363
D_M1_Structure_Break,m1_structure_break_D,46,UP,2025-10-01 12:58:00,2025-10-01 12:59:00,25166,1.1723,2.1714285714285224,1.172082857142857,1.1726257142857142,2025-10-01 13:02:00,1.1726257142857142,TP,3,1.499999999999927,1.7500000000002558,-0.18421052631495527
D_M1_Structure_Break,m1_structure_break_D,50,UP,2025-10-03 01:36:00,2025-10-03 01:37:00,27354,1.17185,1.0857142857137856,1.1717414285714287,1.1720128571428572,2025-10-03 01:40:00,1.1717414285714287,SL,3,-0.9999999999997077,0.8289473684207296,-2.855263157896351
D_M1_Structure_Break,m1_structure_break_D,60,UP,2025-10-08 12:53:00,2025-10-08 12:54:00,32339,1.16047,1.214285714285739,1.1603485714285713,1.1606521428571428,2025-10-08 12:55:00,1.1603485714285713,SL,1,-1.0000000000002613,0.08235294117700842,-1.8941176470583934
D_M1_Structure_Break,m1_structure_break_D,64,UP,2025-10-10 03:04:00,2025-10-10 03:05:00,34614,1.15738,2.8857142857143168,1.1570914285714287,1.1578128571428572,2025-10-10 03:06:00,1.1570914285714287,SL,1,-0.9999999999999449,0.6584158415838479,-1.455445544554741
D_M1_Structure_Break,m1_structure_break_D,68,UP,2025-10-12 18:35:00,2025-10-12 18:36:00,35544,1.16006,1.7285714285716505,1.159887142857143,1.1603192857142859,2025-10-12 18:38:00,1.1603192857142859,TP,2,1.5000000000002751,1.6198347107426445,-0.5206611570255684
D_M1_Structure_Break,m1_structure_break_D,72,UP,2025-10-14 04:01:00,2025-10-14 04:02:00,37545,1.15516,2.842857142856893,1.1548757142857142,1.1555864285714286,2025-10-14 04:03:00,1.1555864285714286,TP,1,1.5000000000002511,1.5477386934674584,-0.17587939698453017
D_M1_Structure_Break,m1_structure_break_D,74,UP,2025-10-15 09:22:00,2025-10-15 09:23:00,39298,1.16169,1.93571428571412,1.1614964285714284,1.161980357142857,2025-10-15 09:27:00,1.161980357142857,TP,4,1.5000000000003686,1.9630996309967204,-0.4649446494461389
D_M1_Structure_Break,m1_structure_break_D,76,UP,2025-10-16 04:10:00,2025-10-16 04:11:00,40422,1.16586,2.850000000000114,1.1655749999999998,1.1662875,2025-10-16 04:12:00,1.1655749999999998,SL,1,-1.0000000000002782,0.035087719298474075,-1.2280701754380225
D_M1_Structure_Break,m1_structure_break_D,79,DOWN,2025-10-20 01:51:00,2025-10-20 01:52:00,43161,1.16727,0.8428571428569549,1.1673542857142858,1.1671435714285714,2025-10-20 01:58:00,1.1673542857142858,SL,6,-1.0000000000007527,1.4237288135610635,-1.1864406779662355
D_M1_Structure_Break,m1_structure_break_D,81,DOWN,2025-10-20 21:12:00,2025-10-20 21:13:00,44311,1.16509,0.957142857142942,1.1651857142857143,1.1649464285714286,2025-10-20 21:15:00,1.1649464285714286,TP,2,1.4999999999990885,1.985074626864581,0.0
D_M1_Structure_Break,m1_structure_break_D,83,DOWN,2025-10-22 01:57:00,2025-10-22 01:58:00,46033,1.16129,1.021428571428126,1.1613921428571428,1.1611367857142858,2025-10-22 02:00:00,1.1613921428571428,SL_AND_TP_SAME_BAR_SL_FIRST,2,-1.0000000000001552,4.797202797203709,-1.07692307692408
D_M1_Structure_Break,m1_structure_break_D,87,DOWN,2025-10-23 04:33:00,2025-10-23 04:34:00,47618,1.16015,1.1928571428568688,1.1602692857142858,1.1599710714285716,2025-10-23 04:40:00,1.1599710714285716,TP,6,1.4999999999991356,1.592814371257117,-0.33532934131777764
D_M1_Structure_Break,m1_structure_break_D,89,DOWN,2025-10-23 20:53:00,2025-10-23 20:54:00,48593,1.16184,0.7785714285717711,1.1619178571428572,1.1617232142857141,2025-10-23 21:00:00,1.1617232142857141,TP,6,1.5000000000012221,1.7981651376142602,-0.642201834863458
D_M1_Structure_Break,m1_structure_break_D,93,DOWN,2025-10-26 20:31:00,2025-10-26 20:32:00,50065,1.16437,1.257142857142687,1.1644957142857142,1.1641814285714285,2025-10-26 20:36:00,1.1641814285714285,TP,4,1.5000000000001892,2.1477272727275034,-0.9545454545465384
D_M1_Structure_Break,m1_structure_break_D,97,DOWN,2025-10-28 12:23:00,2025-10-28 12:24:00,52453,1.16641,1.7357142857140786,1.1665835714285713,1.1661496428571427,2025-10-28 12:35:00,1.1665835714285713,SL,11,-0.999999999999543,1.2098765432102714,-1.3827160493829844
D_M1_Structure_Break,m1_structure_break_D,105,DOWN,2025-10-31 05:16:00,2025-10-31 05:17:00,56336,1.15714,1.3357142857144717,1.1572735714285716,1.1569396428571428,2025-10-31 05:20:00,1.1569396428571428,TP,3,1.5000000000007123,2.1711229946530284,0.0
D_M1_Structure_Break,m1_structure_break_D,114,UP,2025-11-05 02:37:00,2025-11-05 02:38:00,60424,1.14894,1.1000000000003864,1.14883,1.149105,2025-11-05 02:45:00,1.14883,SL,7,-1.000000000000144,1.3636363636347248,-1.545454545454034
D_M1_Structure_Break,m1_structure_break_D,116,UP,2025-11-05 09:17:00,2025-11-05 09:18:00,60824,1.14806,1.628571428571154,1.147897142857143,1.1483042857142858,2025-11-05 09:18:00,1.1483042857142858,TP,0,1.500000000000146,1.5350877192976535,0.0
D_M1_Structure_Break,m1_structure_break_D,118,UP,2025-11-07 01:46:00,2025-11-07 01:47:00,63243,1.15339,0.7928571428572617,1.1533107142857142,1.1535089285714286,2025-11-07 01:49:00,1.1533107142857142,SL,2,-1.0,0.6306306306318669,-2.6486486486459992
D_M1_Structure_Break,m1_structure_break_D,128,UP,2025-11-12 20:31:00,2025-11-12 20:32:00,68663,1.15829,1.1785714285712194,1.158172142857143,1.1584667857142856,2025-11-12 20:38:00,1.1584667857142856,TP,6,1.4999999999991926,1.781818181818867,-0.08484848484905576
D_M1_Structure_Break,m1_structure_break_D,151,DOWN,2025-11-21 03:42:00,2025-11-21 03:43:00,77713,1.15457,2.964285714285784,1.1548664285714287,1.1541253571428571,2025-11-21 03:44:00,1.1548664285714287,SL,1,-1.000000000000214,0.20240963855478902,-1.1807228915657326
D_M1_Structure_Break,m1_structure_break_D,153,DOWN,2025-11-21 16:34:00,2025-11-21 16:35:00,78485,1.15133,0.7785714285714538,1.1514078571428572,1.1512132142857143,2025-11-21 16:40:00,1.1514078571428572,SL,4,-1.0000000000012224,0.8990825688074965,-1.1559633027541252
D_M1_Structure_Break,m1_structure_break_D,159,DOWN,2025-11-24 22:18:00,2025-11-24 22:19:00,80257,1.15253,0.6499999999999759,1.152595,1.1524325,2025-11-24 22:21:00,1.1524325,TP,2,1.500000000001342,1.8461538461557607,-0.6153846153852536
D_M1_Structure_Break,m1_structure_break_D,160,UP,2025-11-25 00:52:00,2025-11-25 00:53:00,80411,1.15156,0.6214285714282016,1.1514978571428571,1.151653214285714,2025-11-25 00:56:00,1.151653214285714,TP,3,1.4999999999992342,2.4137931034512325,0.0
D_M1_Structure_Break,m1_structure_break_D,162,UP,2025-11-26 09:16:00,2025-11-26 09:17:00,82352,1.15563,2.1785714285714266,1.1554121428571429,1.1559567857142856,2025-11-26 09:20:00,1.1559567857142856,TP,3,1.4999999999998543,1.5147540983614076,-0.2295081967207768
D_M1_Structure_Break,m1_structure_break_D,164,UP,2025-11-27 04:43:00,2025-11-27 04:44:00,83515,1.15814,1.0357142857145685,1.1580364285714284,1.1582953571428571,2025-11-27 04:46:00,1.1580364285714284,SL,2,-1.0000000000007654,0.9655172413789403,-1.9310344827578807
D_M1_Structure_Break,m1_structure_break_D,168,UP,2025-11-30 17:28:00,2025-11-30 17:29:00,85675,1.15952,0.9142857142853598,1.1594285714285715,1.159657142857143,2025-11-30 17:30:00,1.1594285714285715,SL,1,-1.000000000001041,0.32812499999984823,-1.0937500000027323
D_M1_Structure_Break,m1_structure_break_D,170,UP,2025-11-30 22:18:00,2025-11-30 22:19:00,85965,1.15932,1.057142857142804,1.1592142857142855,1.1594785714285714,2025-11-30 22:21:00,1.1594785714285714,TP,2,1.5000000000003002,1.6081081081082218,0.0
D_M1_Structure_Break,m1_structure_break_D,176,UP,2025-12-02 12:14:00,2025-12-02 12:15:00,88226,1.15959,1.7642857142853772,1.1594135714285714,1.1598546428571428,2025-12-02 12:21:00,1.1598546428571428,TP,6,1.5000000000004945,1.6437246963572893,-0.7935222672055351
D_M1_Structure_Break,m1_structure_break_D,178,UP,2025-12-03 04:08:00,2025-12-03 04:09:00,89174,1.16433,1.721428571428588,1.1641578571428572,1.1645882142857145,2025-12-03 04:18:00,1.1641578571428572,SL,9,-0.9999999999999079,1.0456431535260717,-1.0456431535273616
D_M1_Structure_Break,m1_structure_break_D,188,UP,2025-12-09 03:22:00,2025-12-09 03:23:00,94873,1.16405,1.3500000000001209,1.163915,1.1642525000000001,2025-12-09 03:25:00,1.1642525000000001,TP,2,1.5000000000006461,1.8518518518506597,-0.5185185185185794
D_M1_Structure_Break,m1_structure_break_D,190,UP,2025-12-09 10:24:00,2025-12-09 10:25:00,95295,1.1632,2.328571428571933,1.1629671428571429,1.1635492857142857,2025-12-09 10:30:00,1.1635492857142857,TP,5,1.4999999999996936,1.8036809815950745,-0.944785276073883
