model,outcome,trades,mean_MFE_R,median_MFE_R,mean_MAE_R,median_MAE_R,mean_R
A_Breakout,loser,79,0.49759800368537327,0.3932584269662725,-1.5299653681381324,-1.3106382978730722,-0.9999999999999385
A_Breakout,winner,83,1.9970310164477219,1.833333333334589,-0.3365925085832443,-0.3027027027030569,1.4999999999998508
B_Break_Retest,loser,78,0.5203862608624393,0.4235546374504445,-1.423534578541369,-1.2753677857425036,-1.0000000000000375
B_Break_Retest,winner,80,1.9317361033134959,1.7981651376152676,-0.4093032195494481,-0.3398617511521219,1.500000000000025
C_Fibonacci_Rejection,loser,86,0.5036592352091788,0.35192982456173727,-1.411871417893525,-1.2682051282050781,-1.0000000000000429
C_Fibonacci_Rejection,winner,50,2.1522526394331893,1.906207085965482,-0.3279428884975064,-0.25266378738493717,1.499999999999956
D_M1_Structure_Break,loser,77,0.5609487421374296,0.4666666666663213,-1.4190453237884824,-1.2727272727272727,-0.9999999999999941
D_M1_Structure_Break,winner,85,2.0208669237645736,1.847715736040689,-0.3778756790926344,-0.3447537473235973,1.4999999999999436
E_Momentum_Continuation,loser,77,0.648044007724754,0.6153846153852035,-1.5105944572906966,-1.4000000000001551,-1.000000000000065
E_Momentum_Continuation,winner,85,2.0651835807087053,1.9600000000006217,-0.33990962113072726,-0.3043478260856343,1.500000000000015
