depth,deviation,backstep
350.0,200.0,40.0
350.0,200.0,20.0
350.0,225.0,40.0
350.0,225.0,20.0
350.0,250.0,20.0
350.0,250.0,40.0
350.0,100.0,20.0
350.0,100.0,40.0
350.0,75.0,40.0
350.0,75.0,20.0
350.0,125.0,40.0
350.0,125.0,20.0
350.0,150.0,20.0
350.0,150.0,40.0
350.0,175.0,20.0
350.0,175.0,40.0
350.0,25.0,20.0
350.0,25.0,40.0
350.0,50.0,20.0
350.0,50.0,40.0
350.0,75.0,80.0
350.0,125.0,80.0
350.0,150.0,80.0
350.0,175.0,80.0
350.0,50.0,80.0
350.0,100.0,80.0
350.0,200.0,80.0
350.0,225.0,80.0
350.0,250.0,80.0
350.0,25.0,80.0
350.0,100.0,60.0
350.0,75.0,60.0
350.0,50.0,60.0
350.0,175.0,60.0
350.0,200.0,60.0
350.0,225.0,60.0
350.0,125.0,60.0
350.0,150.0,60.0
350.0,25.0,60.0
350.0,250.0,60.0
