period,depth,deviation,backstep,pivot_count,swing_count,median_swing_pips,median_bars,median_efficiency,mean_efficiency,deviation_pips
2025Q3,350,25,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,2.5
2025Q3,350,25,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,2.5
2025Q3,350,50,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,5.0
2025Q3,350,50,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,5.0
2025Q3,350,75,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,7.5
2025Q3,350,75,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,7.5
2025Q3,350,100,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,10.0
2025Q3,350,100,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,10.0
2025Q3,350,125,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,12.5
2025Q3,350,125,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,12.5
2025Q3,350,150,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,15.0
2025Q3,350,150,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,15.0
2025Q3,350,175,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,17.5
2025Q3,350,175,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,17.5
2025Q3,350,200,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,20.0
2025Q3,350,200,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,20.0
2025Q3,350,225,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,22.5
2025Q3,350,225,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,22.5
2025Q3,350,250,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,25.0
2025Q3,350,250,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,25.0
2025Q4,350,25,20,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,2.5
2025Q4,350,25,40,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,2.5
2025Q4,350,50,20,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,5.0
2025Q4,350,50,40,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,5.0
2025Q4,350,75,20,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,7.5
2025Q4,350,75,40,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,7.5
2025Q4,350,100,20,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,10.0
2025Q4,350,100,40,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,10.0
2025Q4,350,125,20,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,12.5
2025Q4,350,125,40,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,12.5
2025Q4,350,150,20,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,15.0
2025Q4,350,150,40,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,15.0
2025Q4,350,175,20,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,17.5
2025Q4,350,175,40,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,17.5
2025Q4,350,200,20,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,20.0
2025Q4,350,200,40,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,20.0
2025Q4,350,225,20,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,22.5
2025Q4,350,225,40,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,22.5
2025Q4,350,250,20,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,25.0
2025Q4,350,250,40,191,190,35.0499999999998,406.5,0.11645862325050688,0.13686625796804872,25.0
2026Q1,350,25,20,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,2.5
2026Q1,350,25,40,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,2.5
2026Q1,350,50,20,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,5.0
2026Q1,350,50,40,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,5.0
2026Q1,350,75,20,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,7.5
2026Q1,350,75,40,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,7.5
2026Q1,350,100,20,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,10.0
2026Q1,350,100,40,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,10.0
2026Q1,350,125,20,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,12.5
2026Q1,350,125,40,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,12.5
2026Q1,350,150,20,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,15.0
2026Q1,350,150,40,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,15.0
2026Q1,350,175,20,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,17.5
2026Q1,350,175,40,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,17.5
2026Q1,350,200,20,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,20.0
2026Q1,350,200,40,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,20.0
2026Q1,350,225,20,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,22.5
2026Q1,350,225,40,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,22.5
2026Q1,350,250,20,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,25.0
2026Q1,350,250,40,187,186,43.549999999999976,391.5,0.11935774757404748,0.1491770368458662,25.0
2026Q2,350,25,20,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,2.5
2026Q2,350,25,40,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,2.5
2026Q2,350,50,20,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,5.0
2026Q2,350,50,40,172,171,37.00000000000036,399.0,0.12136409227683909,0.15989008433322074,5.0
