depth,deviation,backstep
300,25,20
300,25,40
300,25,60
300,50,20
300,50,40
300,50,60
300,75,20
300,75,40
300,75,60
300,100,20
300,100,40
300,100,60
300,125,20
300,125,40
300,125,60
300,150,20
300,150,40
300,150,60
300,175,20
300,175,40
300,175,60
300,200,20
300,200,40
300,200,60
300,225,20
300,225,40
300,225,60
300,250,20
300,250,40
300,250,60
305,25,20
305,25,40
305,25,60
305,50,20
305,50,40
305,50,60
305,75,20
305,75,40
305,75,60
305,100,20
305,100,40
305,100,60
305,125,20
305,125,40
305,125,60
305,150,20
305,150,40
305,150,60
305,175,20
305,175,40
305,175,60
305,200,20
305,200,40
305,200,60
305,225,20
305,225,40
305,225,60
305,250,20
305,250,40
305,250,60
310,25,20
310,25,40
310,25,60
310,50,20
310,50,40
310,50,60
310,75,20
310,75,40
310,75,60
310,100,20
310,100,40
310,100,60
310,125,20
310,125,40
310,125,60
310,150,20
310,150,40
310,150,60
310,175,20
310,175,40
310,175,60
310,200,20
310,200,40
310,200,60
310,225,20
310,225,40
310,225,60
310,250,20
310,250,40
310,250,60
315,25,20
315,25,40
315,25,60
315,50,20
315,50,40
315,50,60
315,75,20
315,75,40
315,75,60
315,100,20
315,100,40
315,100,60
315,125,20
315,125,40
315,125,60
315,150,20
315,150,40
315,150,60
315,175,20
315,175,40
315,175,60
315,200,20
315,200,40
315,200,60
315,225,20
315,225,40
315,225,60
315,250,20
315,250,40
315,250,60
320,25,20
320,25,40
320,25,60
320,50,20
320,50,40
320,50,60
320,75,20
320,75,40
320,75,60
320,100,20
320,100,40
320,100,60
320,125,20
320,125,40
320,125,60
320,150,20
320,150,40
320,150,60
320,175,20
320,175,40
320,175,60
320,200,20
320,200,40
320,200,60
320,225,20
320,225,40
320,225,60
320,250,20
320,250,40
320,250,60
325,25,20
325,25,40
325,25,60
325,50,20
325,50,40
325,50,60
325,75,20
325,75,40
325,75,60
325,100,20
325,100,40
325,100,60
325,125,20
325,125,40
325,125,60
325,150,20
325,150,40
325,150,60
325,175,20
325,175,40
325,175,60
325,200,20
325,200,40
325,200,60
