swing_id,start_bar,end_bar,start_time,end_time,start_kind,end_kind,start_price,end_price,direction,bars,swing_pips,prior_swing_id,prior_direction,prior_swing_pips,prior_bars,prior_start_price,prior_end_price,prior_fib_23.6_price,prior_fib_38.2_price,prior_fib_50.0_price,prior_fib_61.8_price,prior_fib_78.6_price,prior_fib_100.0_price,current_end_vs_prior_range_pct,current_end_vs_prior_236_pct,current_end_vs_prior_382_pct,current_end_vs_prior_500_pct,current_end_vs_prior_618_pct,current_end_vs_prior_786_pct,current_end_vs_prior_1000_pct,current_end_fib_zone,current_end_vs_prior_38.2_pct,current_end_vs_prior_50.0_pct,current_end_vs_prior_61.8_pct,current_end_vs_prior_78.6_pct,current_end_vs_prior_100.0_pct
1,1552,2723,2025-09-09 01:55:00,2025-09-09 21:30:00,high,low,1.17799,1.16891,DOWN,1171,90.80000000000199,,,,,,,,,,,,,,,,,,,,,,,,,
2,2723,3015,2025-09-09 21:30:00,2025-09-10 02:22:00,low,high,1.16891,1.17184,UP,292,29.300000000000992,1,DOWN,90.80000000000199,1171,1.17799,1.16891,1.17105288,1.17237856,1.1734499999999999,1.17452144,1.1760468800000001,1.17799,32.26872246696074,32.26872246696074,,,,,,23.6-38.2,32.26872246696074,32.26872246696074,32.26872246696074,32.26872246696074,32.26872246696074
3,3015,3054,2025-09-10 02:22:00,2025-09-10 03:01:00,high,low,1.17184,1.16824,DOWN,39,36.000000000000476,2,UP,29.300000000000992,292,1.16891,1.17184,1.17114852,1.17072074,1.170375,1.17002926,1.16953702,1.16891,-22.866894197949684,122.86689419794969,,,,,,>=100.0,122.86689419794969,122.86689419794969,122.86689419794969,122.86689419794969,122.86689419794969
4,3054,3521,2025-09-10 03:01:00,2025-09-10 10:48:00,low,high,1.16824,1.17306,UP,467,48.200000000000465,3,DOWN,36.000000000000476,39,1.17184,1.16824,1.1690896,1.1696152,1.17004,1.1704648,1.1710696,1.17184,133.8888888888884,133.8888888888884,,,,,,>=100.0,133.8888888888884,133.8888888888884,133.8888888888884,133.8888888888884,133.8888888888884
5,3521,4817,2025-09-10 10:48:00,2025-09-11 08:30:00,high,low,1.17306,1.16589,DOWN,1296,71.699999999999,4,UP,48.200000000000465,467,1.16824,1.17306,1.1719224799999999,1.17121876,1.17065,1.17008124,1.16927148,1.16824,-48.75518672198817,148.75518672198817,,,,,,>=100.0,148.75518672198817,148.75518672198817,148.75518672198817,148.75518672198817,148.75518672198817
6,4817,4991,2025-09-11 08:30:00,2025-09-11 11:24:00,low,high,1.16589,1.1746,UP,174,87.09999999999995,5,DOWN,71.699999999999,1296,1.17306,1.16589,1.16758212,1.16862894,1.169475,1.17032106,1.17152562,1.17306,121.47838214783985,121.47838214783985,,,,,,>=100.0,121.47838214783985,121.47838214783985,121.47838214783985,121.47838214783985,121.47838214783985
7,4991,5764,2025-09-11 11:24:00,2025-09-12 00:19:00,high,low,1.1746,1.17206,DOWN,773,25.399999999999867,6,UP,87.09999999999995,174,1.16589,1.1746,1.17254444,1.17127278,1.170245,1.1692172200000002,1.16775394,1.16589,70.83811710677395,29.16188289322604,,,,,,23.6-38.2,29.16188289322604,29.16188289322604,29.16188289322604,29.16188289322604,29.16188289322604
8,5764,5947,2025-09-12 00:19:00,2025-09-12 03:22:00,low,high,1.17206,1.17475,UP,183,26.89999999999859,7,DOWN,25.399999999999867,773,1.1746,1.17206,1.17265944,1.17303028,1.17333,1.17362972,1.1740564400000002,1.1746,105.90551181101864,105.90551181101864,,,,,,>=100.0,105.90551181101864,105.90551181101864,105.90551181101864,105.90551181101864,105.90551181101864
9,5947,6266,2025-09-12 03:22:00,2025-09-12 08:41:00,high,low,1.17475,1.17013,DOWN,319,46.200000000000685,8,UP,26.89999999999859,183,1.17206,1.17475,1.17411516,1.17372242,1.173405,1.17308758,1.17263566,1.17206,-71.74721189592232,171.74721189592233,,,,,,>=100.0,171.74721189592233,171.74721189592233,171.74721189592233,171.74721189592233,171.74721189592233
10,6266,6644,2025-09-12 08:41:00,2025-09-12 14:59:00,low,high,1.17013,1.17416,UP,378,40.300000000002,9,DOWN,46.200000000000685,319,1.17475,1.17013,1.17122032,1.17189484,1.17244,1.1729851599999999,1.1737613199999999,1.17475,87.22943722944026,87.22943722944026,,,,,,78.6-100.0,87.22943722944026,87.22943722944026,87.22943722944026,87.22943722944026,87.22943722944026
11,6644,6964,2025-09-12 14:59:00,2025-09-14 20:30:00,high,low,1.17416,1.17218,DOWN,320,19.800000000000928,10,UP,40.300000000002,378,1.17013,1.17416,1.17320892,1.17262054,1.172145,1.17166946,1.17099242,1.17013,50.86848635235746,49.13151364764254,,,,,,38.2-50.0,49.13151364764254,49.13151364764254,49.13151364764254,49.13151364764254,49.13151364764254
12,6964,7198,2025-09-14 20:30:00,2025-09-15 00:24:00,low,high,1.17218,1.17353,UP,234,13.499999999999623,11,DOWN,19.800000000000928,320,1.17416,1.17218,1.17264728,1.17293636,1.17317,1.17340364,1.17373628,1.17416,68.18181818181309,68.18181818181309,,,,,,61.8-78.6,68.18181818181309,68.18181818181309,68.18181818181309,68.18181818181309,68.18181818181309
13,7198,7324,2025-09-15 00:24:00,2025-09-15 02:31:00,high,low,1.17353,1.1716,DOWN,126,19.299999999999873,12,UP,13.499999999999623,234,1.17218,1.17353,1.1732114,1.1730143,1.172855,1.1726957,1.1724689,1.17218,-42.96296296296601,142.962962962966,,,,,,>=100.0,142.962962962966,142.962962962966,142.962962962966,142.962962962966,142.962962962966
14,7324,7896,2025-09-15 02:31:00,2025-09-15 12:03:00,low,high,1.1716,1.17744,UP,572,58.400000000000674,13,DOWN,19.299999999999873,126,1.17353,1.1716,1.17205548,1.17233726,1.172565,1.17279274,1.1731169799999999,1.17353,302.590673575135,302.590673575135,,,,,,>=100.0,302.590673575135,302.590673575135,302.590673575135,302.590673575135,302.590673575135
15,7896,8426,2025-09-15 12:03:00,2025-09-15 20:54:00,high,low,1.17744,1.17572,DOWN,530,17.199999999999438,14,UP,58.400000000000674,572,1.1716,1.17744,1.17606176,1.17520912,1.17452,1.17383088,1.17284976,1.1716,70.54794520548076,29.452054794519245,,,,,,23.6-38.2,29.452054794519245,29.452054794519245,29.452054794519245,29.452054794519245,29.452054794519245
16,8426,9414,2025-09-15 20:54:00,2025-09-16 13:22:00,low,high,1.17572,1.18783,UP,988,121.09999999999843,15,DOWN,17.199999999999438,530,1.17744,1.17572,1.17612592,1.17637704,1.17658,1.1767829600000002,1.1770719200000002,1.17744,704.0697674418743,704.0697674418743,,,,,,>=100.0,704.0697674418743,704.0697674418743,704.0697674418743,704.0697674418743,704.0697674418743
17,9414,10423,2025-09-16 13:22:00,2025-09-17 06:13:00,high,low,1.18783,1.18326,DOWN,1009,45.69999999999963,16,UP,121.09999999999843,988,1.17572,1.18783,1.18497204,1.18320398,1.181775,1.18034602,1.1783115400000002,1.17572,62.26259289843087,37.73740710156914,,,,,,23.6-38.2,37.73740710156914,37.73740710156914,37.73740710156914,37.73740710156914,37.73740710156914
18,10423,10899,2025-09-17 06:13:00,2025-09-17 14:09:00,low,high,1.18326,1.19186,UP,476,85.9999999999994,17,DOWN,45.69999999999963,1009,1.18783,1.18326,1.18433852,1.18500574,1.1855449999999998,1.18608426,1.18685202,1.18783,188.18380743982516,188.18380743982516,,,,,,>=100.0,188.18380743982516,188.18380743982516,188.18380743982516,188.18380743982516,188.18380743982516
19,10899,11623,2025-09-17 14:09:00,2025-09-18 02:14:00,high,low,1.19186,1.17802,DOWN,724,138.39999999999853,18,UP,85.9999999999994,476,1.18326,1.19186,1.1898304,1.1885748,1.18756,1.1865451999999999,1.1851004,1.18326,-60.93023255813892,160.93023255813893,,,,,,>=100.0,160.93023255813893,160.93023255813893,160.93023255813893,160.93023255813893,160.93023255813893
20,11623,11831,2025-09-18 02:14:00,2025-09-18 05:42:00,low,high,1.17802,1.18482,UP,208,67.99999999999918,19,DOWN,138.39999999999853,724,1.19186,1.17802,1.18128624,1.18330688,1.18494,1.18657312,1.1888982399999999,1.19186,49.13294797687854,49.13294797687854,,,,,,38.2-50.0,49.13294797687854,49.13294797687854,49.13294797687854,49.13294797687854,49.13294797687854
21,11831,12074,2025-09-18 05:42:00,2025-09-18 09:45:00,high,low,1.18482,1.175,DOWN,243,98.19999999999939,20,UP,67.99999999999918,208,1.17802,1.18482,1.1832152,1.1822224000000001,1.1814200000000001,1.1806176,1.1794752,1.17802,-44.41176470588323,144.41176470588323,,,,,,>=100.0,144.41176470588323,144.41176470588323,144.41176470588323,144.41176470588323,144.41176470588323
22,12074,12909,2025-09-18 09:45:00,2025-09-18 23:48:00,low,high,1.175,1.17925,UP,835,42.49999999999865,21,DOWN,98.19999999999939,243,1.18482,1.175,1.1773175200000001,1.17875124,1.17991,1.18106876,1.18271852,1.18482,43.27902240325754,43.27902240325754,,,,,,38.2-50.0,43.27902240325754,43.27902240325754,43.27902240325754,43.27902240325754,43.27902240325754
23,12909,14171,2025-09-18 23:48:00,2025-09-21 20:56:00,high,low,1.17925,1.17262,DOWN,1262,66.29999999999913,22,UP,42.49999999999865,835,1.175,1.17925,1.178247,1.1776265,1.177125,1.1766235,1.1759095,1.175,-56.00000000000293,156.00000000000293,,,,,,>=100.0,156.00000000000293,156.00000000000293,156.00000000000293,156.00000000000293,156.00000000000293
24,14171,15661,2025-09-21 20:56:00,2025-09-22 21:50:00,low,high,1.17262,1.18199,UP,1490,93.70000000000101,23,DOWN,66.29999999999913,1262,1.17925,1.17262,1.17418468,1.17515266,1.175935,1.17671734,1.1778311799999999,1.17925,141.3273001508329,141.3273001508329,,,,,,>=100.0,141.3273001508329,141.3273001508329,141.3273001508329,141.3273001508329,141.3273001508329
25,15661,15986,2025-09-22 21:50:00,2025-09-23 03:15:00,high,low,1.18199,1.17787,DOWN,325,41.20000000000124,24,UP,93.70000000000101,1490,1.17262,1.18199,1.17977868,1.1784106600000002,1.177305,1.17619934,1.17462518,1.17262,56.02988260405465,43.97011739594535,,,,,,38.2-50.0,43.97011739594535,43.97011739594535,43.97011739594535,43.97011739594535,43.97011739594535
26,15986,16879,2025-09-23 03:15:00,2025-09-23 18:09:00,low,high,1.17787,1.1819,UP,893,40.299999999999784,25,DOWN,41.20000000000124,325,1.18199,1.17787,1.17884232,1.17944384,1.1799300000000001,1.18041616,1.18110832,1.18199,97.81553398057906,97.81553398057906,,,,,,78.6-100.0,97.81553398057906,97.81553398057906,97.81553398057906,97.81553398057906,97.81553398057906
27,16879,17846,2025-09-23 18:09:00,2025-09-24 10:20:00,high,low,1.1819,1.1728,DOWN,967,90.99999999999886,26,UP,40.299999999999784,893,1.17787,1.1819,1.1809489199999998,1.18036054,1.179885,1.17940946,1.17873242,1.17787,-125.80645161290163,225.8064516129016,,,,,,>=100.0,225.8064516129016,225.8064516129016,225.8064516129016,225.8064516129016,225.8064516129016
28,17846,18662,2025-09-24 10:20:00,2025-09-24 23:57:00,low,high,1.1728,1.17535,UP,816,25.499999999998302,27,DOWN,90.99999999999886,967,1.1819,1.1728,1.1749476,1.1762762,1.1773500000000001,1.1784238,1.1799526,1.1819,28.02197802197651,28.02197802197651,,,,,,23.6-38.2,28.02197802197651,28.02197802197651,28.02197802197651,28.02197802197651,28.02197802197651
29,18662,18906,2025-09-24 23:57:00,2025-09-25 04:01:00,high,low,1.17535,1.17305,DOWN,244,22.999999999999687,28,UP,25.499999999998302,816,1.1728,1.17535,1.1747482,1.1743759,1.174075,1.1737741,1.1733457,1.1728,9.80392156862267,90.19607843137733,,,,,,78.6-100.0,90.19607843137733,90.19607843137733,90.19607843137733,90.19607843137733,90.19607843137733
