swing_id,start_bar,end_bar,start_time,end_time,start_kind,end_kind,start_price,end_price,direction,bars,swing_pips,mid_bar,mid_time,m5_time,m5_close,lwma55,lwma220,trend,swing_trend_aligned
1,1552,2723,2025-09-09 01:55:00,2025-09-09 21:30:00,high,low,1.17799,1.16891,DOWN,1171,90.80000000000199,2137,2025-09-09 11:40:00,2025-09-09 11:40:00,1.17247,1.1732385129870129,1.1752325915261208,DOWN,True
5,3521,4817,2025-09-10 10:48:00,2025-09-11 08:30:00,high,low,1.17306,1.16589,DOWN,1296,71.699999999999,4169,2025-09-10 21:42:00,2025-09-10 21:40:00,1.17,1.1699678311688315,1.170349702180172,DOWN,True
6,4817,4991,2025-09-11 08:30:00,2025-09-11 11:24:00,low,high,1.16589,1.1746,UP,174,87.09999999999995,4904,2025-09-11 09:57:00,2025-09-11 09:55:00,1.17392,1.1705468506493508,1.1696278687782802,UP,True
9,5947,6266,2025-09-12 03:22:00,2025-09-12 08:41:00,high,low,1.17475,1.17013,DOWN,319,46.200000000000685,6106,2025-09-12 06:01:00,2025-09-12 06:00:00,1.17248,1.172679331168831,1.1729393294940356,DOWN,True
14,7324,7896,2025-09-15 02:31:00,2025-09-15 12:03:00,low,high,1.1716,1.17744,UP,572,58.400000000000674,7610,2025-09-15 07:17:00,2025-09-15 07:15:00,1.17568,1.1747591168831166,1.1735045327025917,UP,True
16,8426,9414,2025-09-15 20:54:00,2025-09-16 13:22:00,low,high,1.17572,1.18783,UP,988,121.09999999999843,8920,2025-09-16 05:08:00,2025-09-16 05:05:00,1.18017,1.179130649350649,1.1776744228712466,UP,True
19,10899,11623,2025-09-17 14:09:00,2025-09-18 02:14:00,high,low,1.19186,1.17802,DOWN,724,138.39999999999853,11261,2025-09-17 20:12:00,2025-09-17 20:10:00,1.18183,1.1818998246753245,1.183596348004936,DOWN,True
23,12909,14171,2025-09-18 23:48:00,2025-09-21 20:56:00,high,low,1.17925,1.17262,DOWN,1262,66.29999999999913,13540,2025-09-19 10:19:00,2025-09-19 10:15:00,1.17583,1.1749711623376624,1.1763935713698064,DOWN,True
24,14171,15661,2025-09-21 20:56:00,2025-09-22 21:50:00,low,high,1.17262,1.18199,UP,1490,93.70000000000101,14916,2025-09-22 09:21:00,2025-09-22 09:20:00,1.17841,1.1778330194805195,1.1755657811600164,UP,True
27,16879,17846,2025-09-23 18:09:00,2025-09-24 10:20:00,high,low,1.1819,1.1728,DOWN,967,90.99999999999886,17362,2025-09-24 02:16:00,2025-09-24 02:15:00,1.17951,1.1799104805194807,1.1804912579185525,DOWN,True
31,19070,19517,2025-09-25 06:45:00,2025-09-25 14:12:00,high,low,1.17538,1.16454,DOWN,447,108.40000000000182,19293,2025-09-25 10:28:00,2025-09-25 10:25:00,1.16853,1.1709261623376623,1.1734020793911972,DOWN,True
34,20333,20383,2025-09-26 03:52:00,2025-09-26 04:42:00,low,high,1.16684,1.16877,UP,50,19.299999999999873,20358,2025-09-26 04:17:00,2025-09-26 04:15:00,1.16795,1.1677244285714286,1.1671774483751542,UP,True
36,20516,21592,2025-09-26 06:55:00,2025-09-29 01:08:00,low,high,1.16615,1.17332,UP,1076,71.699999999999,21054,2025-09-26 15:53:00,2025-09-26 15:50:00,1.17032,1.16991725974026,1.1687562443438917,UP,True
38,21790,22110,2025-09-29 04:26:00,2025-09-29 09:46:00,low,high,1.17075,1.17544,UP,320,46.90000000000083,21950,2025-09-29 07:06:00,2025-09-29 07:05:00,1.17163,1.1720120779220777,1.1719898617852738,UP,True
42,23518,23754,2025-09-30 09:26:00,2025-09-30 13:22:00,low,high,1.17164,1.17614,UP,236,44.99999999999949,23636,2025-09-30 11:24:00,2025-09-30 11:20:00,1.17329,1.1737911363636364,1.173739315919375,UP,True
43,23754,24153,2025-09-30 13:22:00,2025-09-30 20:06:00,high,low,1.17614,1.17296,DOWN,399,31.799999999999606,23953,2025-09-30 16:41:00,2025-09-30 16:40:00,1.17347,1.1740729415584414,1.1740804833401892,DOWN,True
45,24581,25151,2025-10-01 03:14:00,2025-10-01 12:44:00,high,low,1.17785,1.17154,DOWN,570,63.10000000000038,24866,2025-10-01 07:59:00,2025-10-01 07:55:00,1.17343,1.1735870844155845,1.1743411057178117,DOWN,True
46,25151,26306,2025-10-01 12:44:00,2025-10-02 08:05:00,low,high,1.17154,1.17583,UP,1155,42.899999999999054,25728,2025-10-01 22:26:00,2025-10-01 22:25:00,1.17387,1.1733568701298702,1.173328988070753,UP,True
50,27340,27864,2025-10-03 01:23:00,2025-10-03 10:07:00,low,high,1.17146,1.17591,UP,524,44.500000000000654,27602,2025-10-03 05:45:00,2025-10-03 05:45:00,1.17385,1.17321987012987,1.1724593426573429,UP,True
51,27864,28951,2025-10-03 10:07:00,2025-10-06 04:17:00,high,low,1.17591,1.16516,DOWN,1087,107.50000000000037,28407,2025-10-05 19:13:00,2025-10-05 19:10:00,1.17115,1.172452525974026,1.1734016462361165,DOWN,True
55,30861,31725,2025-10-07 12:11:00,2025-10-08 02:40:00,high,low,1.1681,1.16068,DOWN,864,74.19999999999982,31293,2025-10-07 19:28:00,2025-10-07 19:25:00,1.16562,1.1656691753246755,1.1662695841217603,DOWN,True
57,31813,31921,2025-10-08 04:08:00,2025-10-08 05:56:00,high,low,1.16353,1.16059,DOWN,108,29.399999999999427,31867,2025-10-08 05:02:00,2025-10-08 05:00:00,1.16132,1.1620518311688315,1.1632190275606749,DOWN,True
60,32320,33070,2025-10-08 12:35:00,2025-10-09 01:10:00,low,high,1.15983,1.1648,UP,750,49.70000000000141,32695,2025-10-08 18:54:00,2025-10-08 18:50:00,1.16347,1.1628711363636364,1.1622054594816948,UP,True
61,33070,33892,2025-10-09 01:10:00,2025-10-09 14:52:00,high,low,1.1648,1.1542,DOWN,822,106.00000000000165,33481,2025-10-09 08:01:00,2025-10-09 08:00:00,1.16131,1.1617106363636365,1.162699754833402,DOWN,True
64,34600,34695,2025-10-10 02:51:00,2025-10-10 04:26:00,low,high,1.15609,1.15895,UP,95,28.599999999998627,34647,2025-10-10 03:38:00,2025-10-10 03:35:00,1.15737,1.1571088441558441,1.1567019004524879,UP,True
68,35529,36011,2025-10-12 18:21:00,2025-10-13 02:23:00,low,high,1.15918,1.16297,UP,482,37.8999999999996,35770,2025-10-12 22:22:00,2025-10-12 22:20:00,1.16204,1.1612048636363637,1.1603843994241048,UP,True
69,36011,37092,2025-10-13 02:23:00,2025-10-13 20:29:00,high,low,1.16297,1.15549,DOWN,1081,74.80000000000153,36551,2025-10-13 11:23:00,2025-10-13 11:20:00,1.15698,1.1568208766233765,1.1590873039901282,DOWN,True
72,37527,39025,2025-10-14 03:44:00,2025-10-15 04:50:00,low,high,1.15423,1.16453,UP,1498,102.99999999999976,38276,2025-10-14 16:13:00,2025-10-14 16:10:00,1.16029,1.1606525194805193,1.1584742768408067,UP,True
74,39279,40042,2025-10-15 09:04:00,2025-10-15 21:51:00,low,high,1.16103,1.16754,UP,763,65.10000000000016,39660,2025-10-15 15:25:00,2025-10-15 15:25:00,1.16377,1.1633763376623378,1.1629240119292474,UP,True
76,40408,41727,2025-10-16 03:57:00,2025-10-17 01:57:00,low,high,1.16429,1.17283,UP,1319,85.39999999999992,41067,2025-10-16 14:56:00,2025-10-16 14:55:00,1.16892,1.1682312857142858,1.166638458658988,UP,True
