swing_id,start_bar,end_bar,start_time,end_time,start_kind,end_kind,start_price,end_price,direction,bars,swing_pips,mid_bar,mid_time,m5_time,m5_close,lwma55,lwma220,trend,swing_trend_aligned
1,1552,2723,2025-09-09 01:55:00,2025-09-09 21:30:00,high,low,1.17799,1.16891,DOWN,1171,90.80000000000199,2137,2025-09-09 11:40:00,2025-09-09 11:40:00,1.17247,1.1732385129870129,1.1752325915261208,DOWN,True
2,2723,3015,2025-09-09 21:30:00,2025-09-10 02:22:00,low,high,1.16891,1.17184,UP,292,29.300000000000992,2869,2025-09-09 23:56:00,2025-09-09 23:55:00,1.1708,1.1703889545454542,1.1709708946935413,DOWN,False
3,3015,3054,2025-09-10 02:22:00,2025-09-10 03:01:00,high,low,1.17184,1.16824,DOWN,39,36.000000000000476,3034,2025-09-10 02:41:00,2025-09-10 02:40:00,1.17115,1.1711380909090907,1.1708502838338133,UP,False
4,3054,3521,2025-09-10 03:01:00,2025-09-10 10:48:00,low,high,1.16824,1.17306,UP,467,48.200000000000465,3287,2025-09-10 06:54:00,2025-09-10 06:50:00,1.17035,1.17037525974026,1.170550993006993,DOWN,False
5,3521,4817,2025-09-10 10:48:00,2025-09-11 08:30:00,high,low,1.17306,1.16589,DOWN,1296,71.699999999999,4169,2025-09-10 21:42:00,2025-09-10 21:40:00,1.17,1.1699678311688315,1.170349702180172,DOWN,True
6,4817,4991,2025-09-11 08:30:00,2025-09-11 11:24:00,low,high,1.16589,1.1746,UP,174,87.09999999999995,4904,2025-09-11 09:57:00,2025-09-11 09:55:00,1.17392,1.1705468506493508,1.1696278687782802,UP,True
7,4991,5764,2025-09-11 11:24:00,2025-09-12 00:19:00,high,low,1.1746,1.17206,DOWN,773,25.399999999999867,5377,2025-09-11 17:50:00,2025-09-11 17:50:00,1.17352,1.1735373376623377,1.1722822978198275,UP,False
8,5764,5947,2025-09-12 00:19:00,2025-09-12 03:22:00,low,high,1.17206,1.17475,UP,183,26.89999999999859,5855,2025-09-12 01:50:00,2025-09-12 01:50:00,1.17319,1.1726056493506491,1.173050976964212,DOWN,False
9,5947,6266,2025-09-12 03:22:00,2025-09-12 08:41:00,high,low,1.17475,1.17013,DOWN,319,46.200000000000685,6106,2025-09-12 06:01:00,2025-09-12 06:00:00,1.17248,1.172679331168831,1.1729393294940356,DOWN,True
10,6266,6644,2025-09-12 08:41:00,2025-09-12 14:59:00,low,high,1.17013,1.17416,UP,378,40.300000000002,6455,2025-09-12 11:50:00,2025-09-12 11:50:00,1.17167,1.1717828116883116,1.1723660353763885,DOWN,False
11,6644,6964,2025-09-12 14:59:00,2025-09-14 20:30:00,high,low,1.17416,1.17218,DOWN,320,19.800000000000928,6804,2025-09-14 17:49:00,2025-09-14 17:45:00,1.17288,1.173258292207792,1.1727132184286302,UP,False
