trend,reversal_fib_zone,count,trend_total,pct_within_trend
DOWN,<0,0,171,0.0
DOWN,0-23.6,0,171,0.0
DOWN,23.6-38.2,0,171,0.0
DOWN,38.2-50,2,171,0.011695906432748537
DOWN,50-61.8,8,171,0.04678362573099415
DOWN,61.8-78.6,10,171,0.05847953216374269
DOWN,78.6-100,12,171,0.07017543859649122
DOWN,100-127.2,27,171,0.15789473684210525
DOWN,127.2-161.8,36,171,0.21052631578947367
DOWN,161.8-200,26,171,0.15204678362573099
DOWN,200-261.8,22,171,0.1286549707602339
DOWN,261.8-361.8,16,171,0.0935672514619883
DOWN,361.8-423.6,4,171,0.023391812865497075
DOWN,>=423.6,8,171,0.04678362573099415
UP,<0,0,139,0.0
UP,0-23.6,0,139,0.0
UP,23.6-38.2,2,139,0.014388489208633094
UP,38.2-50,1,139,0.007194244604316547
UP,50-61.8,3,139,0.02158273381294964
UP,61.8-78.6,6,139,0.04316546762589928
UP,78.6-100,15,139,0.1079136690647482
UP,100-127.2,22,139,0.15827338129496402
UP,127.2-161.8,17,139,0.1223021582733813
UP,161.8-200,20,139,0.14388489208633093
UP,200-261.8,21,139,0.1510791366906475
UP,261.8-361.8,13,139,0.09352517985611511
UP,361.8-423.6,8,139,0.05755395683453238
UP,>=423.6,11,139,0.07913669064748201
