swing_id,direction,trend,swing_pips,bars,swing_trend_aligned,prior_direction,prior_swing_pips,prior_bars,current_end_retracement_pct,current_end_fib_zone,reversal_pct,reversal_fib_zone
5,DOWN,DOWN,71.699999999999,1296,True,UP,48.20000000000047,467.0,148.75518672198817,127.2-161.8,148.75518672198817,127.2-161.8
6,UP,UP,87.09999999999995,174,True,DOWN,71.699999999999,1296.0,121.47838214783984,100.0-127.2,121.47838214783984,100-127.2
9,DOWN,DOWN,46.200000000000685,319,True,UP,26.89999999999859,183.0,171.74721189592233,161.8-200.0,171.74721189592233,161.8-200
14,UP,UP,58.400000000000674,572,True,DOWN,19.299999999999876,126.0,302.590673575135,261.8-361.8,302.590673575135,261.8-361.8
16,UP,UP,121.09999999999845,988,True,DOWN,17.199999999999438,530.0,704.0697674418743,>=423.6,704.0697674418743,>=423.6
19,DOWN,DOWN,138.39999999999853,724,True,UP,85.9999999999994,476.0,160.93023255813893,127.2-161.8,160.93023255813893,127.2-161.8
23,DOWN,DOWN,66.29999999999913,1262,True,UP,42.49999999999865,835.0,156.00000000000293,127.2-161.8,156.00000000000293,127.2-161.8
24,UP,UP,93.700000000001,1490,True,DOWN,66.29999999999913,1262.0,141.3273001508329,127.2-161.8,141.3273001508329,127.2-161.8
27,DOWN,DOWN,90.99999999999886,967,True,UP,40.29999999999978,893.0,225.8064516129016,200.0-261.8,225.8064516129016,200-261.8
31,DOWN,DOWN,108.40000000000182,447,True,UP,23.300000000001653,164.0,465.2360515021208,>=423.6,465.2360515021208,>=423.6
34,UP,UP,19.299999999999876,50,True,DOWN,15.299999999998091,103.0,126.1437908496881,100.0-127.2,126.1437908496881,100-127.2
36,UP,UP,71.699999999999,1076,True,DOWN,26.200000000000667,133.0,273.66412213739375,261.8-361.8,273.66412213739375,261.8-361.8
38,UP,UP,46.90000000000083,320,True,DOWN,25.69999999999961,198.0,182.49027237354684,161.8-200.0,182.49027237354684,161.8-200
42,UP,UP,44.99999999999949,236,True,DOWN,45.100000000000136,283.0,99.77827050997638,78.6-100.0,99.77827050997638,78.6-100
43,DOWN,DOWN,31.799999999999606,399,True,UP,44.99999999999949,236.0,70.6666666666666,61.8-78.6,70.6666666666666,61.8-78.6
45,DOWN,DOWN,63.10000000000038,570,True,UP,48.90000000000061,428.0,129.03885480572515,127.2-161.8,129.03885480572515,127.2-161.8
46,UP,UP,42.899999999999054,1155,True,DOWN,63.10000000000038,570.0,67.98732171156703,61.8-78.6,67.98732171156703,61.8-78.6
